name,current_price,price_change_percentage_24h,total_volume
Bitcoin,87890.0,0.71,35440282413
Ethereum,2978.88,1.69,18622751730
XRP,1.86,0.05,1577378380
Solana,124.36,0.54,3194936943
TRON,0.285126,1.26,560158493
Dogecoin,0.124421,0.82,833450748
Cardano,0.353054,-3.29,581401564
Chainlink,12.52,1.24,296708959
Litecoin,77.86,0.51,346937293
Polkadot,1.83,-0.59,119877013
